time,ANM,Non-ANM,Total
2021-12-11 19:08:00+00:00,5.802561,12.507,18.309561
2021-12-11 19:09:00+00:00,6.250559,13.016,19.266559
2021-12-11 19:10:00+00:00,6.565559,11.203,17.768559
2021-12-11 19:11:00+00:00,6.36156,11.114,17.47556
2021-12-11 19:12:00+00:00,6.980559,11.489,18.469559
2021-12-11 19:13:00+00:00,7.133557,11.15,18.283557000000002
2021-12-11 19:14:00+00:00,6.372561,13.128,19.500561
2021-12-11 19:15:00+00:00,6.302559,12.909,19.211559
2021-12-11 19:16:00+00:00,6.562558,13.425,19.987558
2021-12-11 19:17:00+00:00,6.969559,13.256,20.225559
2021-12-11 19:18:00+00:00,6.133558,13.728,19.861558
2021-12-11 19:19:00+00:00,6.395559,14.446,20.841559
2021-12-11 19:20:00+00:00,6.401559,14.281,20.682559
2021-12-11 19:21:00+00:00,5.864557,14.701,20.565557
2021-12-11 19:22:00+00:00,6.29456,14.876,21.17056
2021-12-11 19:23:00+00:00,6.047557,14.643,20.690557000000002
2021-12-11 19:24:00+00:00,6.347557,14.357,20.704557
2021-12-11 19:25:00+00:00,6.893557,14.465,21.358557
2021-12-11 19:26:00+00:00,7.743556,13.964,21.707556
2021-12-11 19:27:00+00:00,7.846559,14.219,22.065559
2021-12-11 19:28:00+00:00,7.964559,14.307,22.271559
2021-12-11 19:29:00+00:00,7.99756,14.131,22.12856
2021-12-11 19:30:00+00:00,8.434559,14.018,22.452559
2021-12-11 19:31:00+00:00,8.196557,13.821,22.017557
2021-12-11 19:32:00+00:00,8.84656,13.923,22.76956
2021-12-11 19:33:00+00:00,8.295561,13.72,22.015560999999998
2021-12-11 19:34:00+00:00,8.19956,13.122,21.321559999999998
2021-12-11 19:35:00+00:00,8.224557,12.981,21.205557
2021-12-11 19:36:00+00:00,8.054558,12.839,20.893558
2021-12-11 19:37:00+00:00,7.682558,12.797,20.479558
2021-12-11 19:38:00+00:00,8.100556,12.284,20.384556
2021-12-11 19:39:00+00:00,8.331561,12.532,20.863561
2021-12-11 19:40:00+00:00,8.802559,12.512,21.314559000000003
2021-12-11 19:41:00+00:00,8.212557,12.871,21.083557
2021-12-11 19:42:00+00:00,8.397557,13.034,21.431557
2021-12-11 19:43:00+00:00,8.483559,13.233,21.716559
2021-12-11 19:44:00+00:00,8.56156,13.718,22.27956
2021-12-11 19:45:00+00:00,8.266562,14.231,22.497562000000002
2021-12-11 19:46:00+00:00,8.34956,14.571,22.920560000000002
2021-12-11 19:47:00+00:00,8.373559,15.025,23.398559
2021-12-11 19:48:00+00:00,8.202558,15.161,23.363557999999998
2021-12-11 19:49:00+00:00,7.34456,15.38,22.72456
2021-12-11 19:50:00+00:00,7.748558,15.39,23.138558
2021-12-11 19:51:00+00:00,7.621556,15.345,22.966556
2021-12-11 19:52:00+00:00,7.342561,15.216,22.558560999999997
2021-12-11 19:53:00+00:00,6.672558,15.181,21.853558
2021-12-11 19:54:00+00:00,6.862559,14.976,21.838559
2021-12-11 19:55:00+00:00,6.132558,14.796,20.928558
2021-12-11 19:56:00+00:00,6.20956,14.724,20.93356
2021-12-11 19:57:00+00:00,6.024559,15.304,21.328559
2021-12-11 19:58:00+00:00,5.567558,15.327,20.894558
2021-12-11 19:59:00+00:00,5.567558,15.327,20.894558
2021-12-11 20:00:00+00:00,5.513561,15.431,20.944561
2021-12-11 20:01:00+00:00,5.308558,15.569,20.877558
2021-12-11 20:02:00+00:00,5.125559,15.304,20.429559
2021-12-11 20:03:00+00:00,5.269559,15.184,20.453559
2021-12-11 20:04:00+00:00,5.326561,15.535,20.861561000000002
2021-12-11 20:05:00+00:00,5.556559,15.543,21.099559
2021-12-11 20:06:00+00:00,6.000559,15.558,21.558559
2021-12-11 20:07:00+00:00,6.194559,15.563,21.757559
2021-12-11 20:08:00+00:00,5.889558,15.529,21.418558
2021-12-11 20:09:00+00:00,6.090559,15.079,21.169559
2021-12-11 20:10:00+00:00,6.135562,15.076,21.211562
2021-12-11 20:11:00+00:00,5.366558,14.803,20.169558000000002
2021-12-11 20:12:00+00:00,5.267558,15.145,20.412558
